,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01001440,878,427,451,878,-,2,19,47.22
S01001441,790,386,404,790,-,-,37,21.6
S01001442,685,350,335,685,-,-,16,42.43
S01001443,932,446,486,932,-,11,16,56.78
S01001444,915,444,471,913,2,5,18,51.26
S01001445,702,331,371,702,-,6,14,49.38
S01001446,908,450,458,908,-,10,22,41.7
S01001447,"1,321",635,686,"1,240",81,15,35,37.49
S01001448,744,357,387,744,-,1,13,58.23
S01001449,599,288,311,599,-,7,21,28.82
S01001450,809,392,417,809,-,1,17,47.61
S01001451,699,342,357,699,-,5,22,32.25
S01001452,820,383,437,820,-,1,29,28.05
S01001453,835,409,426,835,-,4,16,51.93
S01001454,914,444,470,914,-,7,37,24.89
S01001455,771,368,403,771,-,4,18,43.31
S01001456,656,302,354,624,32,6,20,32.75
S01001457,904,442,462,904,-,10,37,24.41
S01001458,917,436,481,917,-,4,18,49.61
S01001459,905,438,467,905,-,5,30,30.12
S01001460,653,321,332,653,-,4,25,26.48
S01001461,856,397,459,856,-,4,17,51
S01001462,831,403,428,831,-,20,34,24.6
S01001463,516,233,283,516,-,3,16,31.39
S01001464,881,423,458,881,-,3,29,30.78
S01001465,691,335,356,691,-,12,52,13.4
S01001466,727,359,368,727,-,5,16,44.65
S01001467,812,400,412,812,-,8,19,42.09
S01001468,667,338,329,667,-,6,66,10.03
S01001469,860,411,449,860,-,10,36,23.59
S01001470,937,469,468,937,-,41,38,24.68
S01001471,759,402,357,752,7,15,39,19.63
S01001472,800,388,412,800,-,8,16,48.75
S01001473,778,382,396,769,9,19,39,20.19
S01001474,882,416,466,882,-,3,606,1.45
S01001475,610,285,325,610,-,5,16,38.55
S01001476,993,497,496,993,-,24,27,36.85
S01001477,933,433,500,933,-,8,22,42.34
S01001478,662,326,336,662,-,10,20,33.42
S01001479,635,294,341,635,-,7,17,36.87
S01001480,489,243,246,489,-,8,45,10.89
S01001481,874,442,432,874,-,18,19,46.11
S01001482,701,324,377,701,-,7,13,54.72
S01001483,"1,049",523,526,"1,049",-,23,31,33.98
S01001484,829,406,423,829,-,5,61,13.63
S01001485,614,305,309,614,-,2,"1,069",0.57
S01001486,755,361,394,755,-,17,25,30.64
S01001487,665,321,344,665,-,-,13,50.66
S01001488,872,427,445,872,-,1,15,57.51
S01001489,801,349,452,704,97,5,26,30.28
S01001490,961,511,450,955,6,6,30,32.33
S01001491,884,427,457,884,-,5,17,52.24
S01001492,913,408,505,899,14,4,63,14.52
S01001493,886,437,449,880,6,9,24,37.51
S01001494,891,425,466,891,-,3,19,48.14
S01001495,618,297,321,618,-,10,18,33.99
S01001496,936,464,472,936,-,17,26,35.5
S01001497,766,374,392,766,-,6,30,25.39
S01001498,678,327,351,678,-,3,17,40.34
S01001499,"1,091",538,553,"1,091",-,8,956,1.14
S01001500,583,274,309,583,-,1,22,27.08
S01001501,858,413,445,858,-,8,27,31.85
S01001502,840,408,432,840,-,-,21,39.97
S01001503,802,399,403,802,-,2,11,75.14
S01001504,875,431,444,875,-,3,20,43.4
S01001505,"1,029",493,536,"1,025",4,2,34,29.94
S01001506,602,290,312,602,-,3,19,32.22
S01001507,895,421,474,895,-,18,30,29.46
S01001508,903,429,474,903,-,7,30,30.37
S01001509,814,406,408,814,-,3,15,54.68
S01001510,630,294,336,630,-,2,30,21.19
S01001511,575,281,294,575,-,9,25,23.03
S01001512,852,419,433,852,-,2,23,36.97
S01001513,911,405,506,900,11,1,14,67.31
S01001514,747,383,364,747,-,2,24,30.75
S01001515,697,335,362,697,-,9,21,32.95
S01001516,704,348,356,704,-,2,11,65.63
S01001517,847,345,502,847,-,1,28,29.9
S01001518,"1,014",471,543,"1,014",-,9,24,42.51
S01001519,962,458,504,959,3,14,28,34.96
S01001520,707,337,370,707,-,-,11,64.79
S01001521,977,474,503,977,-,19,"1,257",0.78
S01001522,"1,057",473,584,"1,057",-,4,47,22.36
S01001523,790,381,409,790,-,16,16,49.06
S01001524,941,458,483,941,-,1,12,77.4
S01001525,788,388,400,788,-,-,14,56.32
S01001526,627,301,326,627,-,2,19,33.31
S01001527,898,437,461,898,-,-,18,50.09
S01001528,973,481,492,973,-,20,720,1.35
S01001529,707,334,373,707,-,4,17,40.47
S01001530,761,341,420,761,-,2,12,64.89
S01001531,"1,175",577,598,"1,105",70,5,530,2.22
S01001532,597,280,317,597,-,14,35,17.04
S01001533,962,473,489,962,-,13,58,16.47
S01001534,669,350,319,669,-,4,13,51.75
S01001535,853,409,444,853,-,10,45,18.98
S01001536,808,405,403,808,-,2,44,18.18
S01001537,499,245,254,499,-,1,676,0.74
S01001538,814,387,427,814,-,15,359,2.27
S01001539,892,429,463,795,97,8,22,40.48
S01001540,810,411,399,810,-,17,"1,718",0.47
S01001541,828,392,436,828,-,5,18,46.36
S01001542,670,310,360,670,-,2,14,47.93
S01001543,746,353,393,746,-,7,30,24.76
S01001544,919,426,493,919,-,1,772,1.19
S01001545,715,336,379,715,-,2,14,51.64
S01001546,989,480,509,987,2,3,21,47.74
S01001547,995,465,530,942,53,-,41,24.09
S01001548,"1,035",514,521,"1,035",-,6,"3,087",0.34
S01001549,996,497,499,993,3,4,"2,765",0.36
S01001550,789,400,389,789,-,26,"4,150",0.19
S01001551,936,462,474,936,-,31,"7,976",0.12
S01001552,864,438,426,864,-,17,"1,988",0.43
S01001553,903,454,449,883,20,33,"8,282",0.11
S01001554,992,490,502,992,-,23,459,2.16
S01001555,758,362,396,758,-,4,355,2.13
S01001556,845,413,432,845,-,9,25,34.2
S01001557,989,477,512,933,56,21,"1,514",0.65
S01001558,829,400,429,829,-,10,670,1.24
S01001559,387,189,198,387,-,1,15,24.99
S01001560,"1,450",538,912,650,800,8,466,3.11
S01001561,"1,347",695,652,"1,322",25,6,730,1.84
S01001562,"2,633","1,298","1,335","2,633",-,11,617,4.27
S01001563,597,284,313,575,22,8,12,49.8
S01001564,557,260,297,557,-,1,12,45.96
S01001565,733,330,403,733,-,3,10,71
S01001566,664,311,353,664,-,9,13,51.84
S01001567,907,433,474,907,-,5,15,61.15
S01001568,727,353,374,727,-,6,79,9.18
S01001569,811,402,409,811,-,8,12,67.54
S01001570,512,257,255,512,-,2,12,42.73
S01001571,724,345,379,724,-,2,14,50.97
S01001572,532,256,276,532,-,1,7,75.52
S01001573,658,340,318,658,-,17,"6,612",0.1
S01001574,877,403,474,877,-,3,25,35.38
S01001575,750,351,399,750,-,1,14,53.01
S01001576,597,279,318,597,-,1,12,48.4
S01001577,714,339,375,714,-,9,11,65.54
S01001578,756,372,384,756,-,3,27,27.91
S01001579,849,406,443,816,33,2,27,31.6
S01001580,565,257,308,565,-,3,8,72.97
S01001581,640,307,333,640,-,6,10,66.51
S01001582,711,338,373,711,-,-,24,29.92
S01001583,482,228,254,478,4,4,15,33.07
S01001584,776,372,404,776,-,4,23,33.63
S01001585,920,407,513,920,-,5,14,66.25
S01001586,473,229,244,473,-,4,51,9.36
S01001587,755,359,396,755,-,1,22,35.05
S01001588,796,381,415,796,-,-,14,55.78
S01001589,819,401,418,819,-,4,15,55.74
S01001590,642,294,348,642,-,7,5,137.54
S01001591,641,309,332,641,-,4,33,19.54
S01001592,796,377,419,796,-,3,19,41.66
S01001593,784,352,432,773,11,9,41,19.06
S01001594,798,382,416,798,-,4,12,66
S01001595,718,362,356,718,-,3,17,41.41
S01001596,826,389,437,790,36,10,13,62.93
S01001597,851,397,454,628,223,5,12,68.89
S01001598,678,329,349,678,-,5,21,32.74
S01001599,924,422,502,924,-,2,9,97.43
S01001600,"1,012",471,541,"1,012",-,15,11,93.9
S01001601,"1,213",583,630,"1,190",23,11,"5,952",0.2
S01001602,640,305,335,639,1,1,32,19.99
S01001603,"1,009",479,530,933,76,6,29,34.78
S01001604,644,311,333,644,-,2,9,68.24
S01001605,762,377,385,760,2,4,"1,071",0.71
S01001606,617,286,331,617,-,4,29,21
S01001607,"2,654","1,319","1,335","2,601",53,19,"1,251",2.12
S01001608,809,401,408,809,-,12,17,48.48
S01001609,901,431,470,901,-,4,14,65.22
S01001610,777,402,375,777,-,5,44,17.62
S01001611,"1,024",505,519,"1,024",-,23,"5,164",0.2
S01001612,835,418,417,825,10,25,40,20.64
S01001613,776,378,398,776,-,1,11,72.37
S01001614,672,283,389,642,30,8,19,36.06
S01001615,780,373,407,780,-,7,31,25.48
S01001616,754,367,387,754,-,12,31,24.19
S01001617,628,277,351,628,-,2,10,60.88
S01001618,946,467,479,939,7,15,"2,247",0.42
S01001619,693,333,360,693,-,1,15,47.21
S01001620,875,422,453,875,-,2,36,23.99
S01001621,680,334,346,680,-,10,11,62.08
S01001622,838,426,412,838,-,13,17,49.53
S01001623,766,362,404,755,11,5,27,28.31
S01001624,996,475,521,973,23,6,24,41.3
S01001625,797,396,401,797,-,3,14,55.83
S01001626,737,350,387,725,12,15,16,46.93
S01001627,"1,394",669,725,"1,394",-,11,35,39.53
S01001628,618,314,304,618,-,2,8,79.78
S01001629,567,263,304,567,-,4,13,42.89
S01001630,556,269,287,556,-,1,11,51.08
S01001631,"1,415",682,733,"1,415",-,12,32,43.71
S01001632,583,283,300,583,-,10,8,69.32
S01001633,885,434,451,885,-,20,728,1.22
S01001634,"1,029",500,529,"1,029",-,11,18,58.09
S01001635,735,352,383,735,-,8,9,80.6
S01001636,515,244,271,515,-,4,11,47.9
S01001637,709,354,355,693,16,3,319,2.22
S01001638,887,427,460,887,-,9,16,56.45
S01001639,710,338,372,704,6,3,16,44.61
S01001640,648,330,318,648,-,12,31,21.09
S01001641,"1,566",760,806,"1,566",-,19,"1,168",1.34
S01001642,900,451,449,900,-,10,591,1.52
S01001643,733,343,390,733,-,10,21,34.82
S01001644,"1,768",852,916,"1,768",-,12,81,21.93
S01001645,987,471,516,936,51,15,22,44.06
S01001646,612,299,313,612,-,8,"2,009",0.3
S01001647,647,304,343,645,2,3,25,25.42
S01001648,747,348,399,724,23,10,28,26.86
S01001649,754,350,404,754,-,5,27,28.2
S01001650,852,405,447,737,115,15,55,15.52
S01001651,901,439,462,899,2,15,33,27.52
S01001652,774,367,407,774,-,38,"2,112",0.37
S01001653,617,296,321,617,-,3,11,54.69
S01001654,936,462,474,936,-,17,"1,723",0.54
S01001655,578,265,313,574,4,16,162,3.58
S01001656,"1,352",650,702,"1,311",41,18,719,1.88
S01001657,502,237,265,502,-,30,"3,221",0.16
S01001658,"1,002",491,511,"1,002",-,36,"1,880",0.53
S01001659,706,331,375,706,-,16,27,26.26
S01001660,678,317,361,678,-,21,47,14.39
S01001661,818,403,415,808,10,21,"1,670",0.49
S01001662,729,349,380,729,-,11,13,54.39
S01001663,841,401,440,841,-,27,47,18.02
S01001664,557,275,282,557,-,25,29,19.52
S01001665,868,380,488,808,60,10,29,30.21
S01001666,558,276,282,558,-,13,93,6.03
S01001667,819,361,458,785,34,24,24,33.82
S01001668,878,445,433,827,51,31,59,14.77
S01001669,669,326,343,664,5,7,29,23.47
S01001670,639,312,327,639,-,2,"3,186",0.2
S01001671,516,248,268,516,-,5,"2,469",0.21
S01001672,583,262,321,583,-,3,26,22.09
S01001673,662,314,348,662,-,4,17,38.65
S01001674,697,329,368,697,-,2,31,22.63
S01001675,706,334,372,706,-,5,16,42.86
S01001676,"1,223",572,651,"1,223",-,12,"3,242",0.38
S01001677,844,408,436,844,-,8,28,30.06
S01001678,832,421,411,832,-,5,"1,399",0.59
S01001679,934,432,502,890,44,17,58,16.15
S01001680,589,291,298,589,-,4,61,9.66
S01001681,674,340,334,674,-,8,26,26.21
S01001682,601,297,304,601,-,1,677,0.89
S01001683,734,339,395,734,-,10,16,44.97
S01001684,516,259,257,516,-,9,750,0.69
S01001685,763,351,412,763,-,-,17,43.73
S01001686,900,427,473,893,7,8,30,30.15
S01001687,980,433,547,980,-,8,21,47.76
S01001688,956,444,512,956,-,6,26,37.14
S01001689,674,320,354,674,-,9,357,1.89
S01001690,906,428,478,906,-,4,18,49.33
S01001691,848,424,424,848,-,12,27,31.38
S01001692,662,292,370,662,-,9,27,24.84
S01001693,915,423,492,876,39,1,16,58.82
S01001694,657,296,361,657,-,1,17,39.54
S01001695,761,355,406,761,-,7,21,35.54
S01001696,739,367,372,739,-,7,19,39.45
S01001697,853,425,428,853,-,14,18,47.35
S01001698,529,253,276,529,-,1,64,8.22
S01001699,700,344,356,700,-,10,13,52.05
S01001700,"1,023",485,538,"1,023",-,10,33,30.75
S01001701,926,409,517,897,29,7,20,45.22
S01001702,990,447,543,943,47,10,43,23.13
S01001703,822,392,430,822,-,9,19,42.8
S01001704,916,449,467,916,-,29,47,19.29
S01001705,629,315,314,629,-,4,9,66.89
S01001706,789,398,391,789,-,8,18,43.2
S01001707,727,339,388,727,-,3,19,38.44
S01001708,953,421,532,884,69,8,45,21.2
S01001709,602,291,311,602,-,8,13,48.09
S01001710,692,322,370,692,-,2,90,7.71
S01001711,790,396,394,790,-,4,11,71.23
S01001712,458,223,235,458,-,-,10,45.33
S01001713,871,417,454,871,-,11,17,49.86
S01001714,705,350,355,705,-,7,15,47.36
S01001715,883,436,447,883,-,10,19,45.82
S01001716,846,376,470,846,-,2,30,27.97
S01001717,808,377,431,808,-,3,18,45.9
S01001718,550,275,275,550,-,4,13,41.57
S01001719,795,387,408,795,-,12,13,60.8
S01001720,699,341,358,699,-,5,923,0.76
S01001721,731,349,382,731,-,7,36,20.47
S01001722,746,371,375,746,-,6,12,60.82
S01001723,872,424,448,872,-,22,41,21.06
S01001724,813,391,422,813,-,2,18,44.83
S01001725,779,360,419,779,-,3,18,43.6
S01001726,649,338,311,649,-,9,13,48.68
S01001727,"1,015",487,528,"1,015",-,7,25,40.93
S01001728,649,322,327,649,-,1,10,67.35
S01001729,976,478,498,968,8,6,28,35.29
S01001730,650,333,317,650,-,2,14,46.38
S01001731,674,343,331,674,-,5,54,12.59
S01001732,571,263,308,571,-,4,187,3.05
S01001733,908,437,471,858,50,5,32,28.73
S01001734,530,258,272,530,-,4,13,39.47
S01001735,480,238,242,480,-,2,17,28.34
S01001736,"1,092",532,560,"1,092",-,31,44,25.04
S01001737,609,289,320,609,-,2,6,94.66
S01001738,610,291,319,610,-,2,15,41.47
S01001739,637,293,344,637,-,1,8,84.09
S01001740,745,374,371,745,-,-,"1,477",0.5
S01001741,651,317,334,651,-,5,22,28.99
S01001742,764,354,410,764,-,1,12,64.43
S01001743,990,464,526,990,-,1,14,71.85
S01001744,546,263,283,546,-,5,12,44.87
S01001745,795,381,414,795,-,1,12,64.66
S01001746,967,438,529,886,81,13,27,35.43
S01001747,857,406,451,857,-,1,19,46.08
S01001748,619,299,320,619,-,6,17,36.56
S01001749,739,336,403,739,-,-,14,52.1
S01001750,633,302,331,633,-,1,15,41.92
S01001751,963,464,499,963,-,5,23,42.34
S01001752,935,457,478,935,-,16,31,29.94
S01001753,799,377,422,799,-,-,11,73.95
S01001754,771,394,377,771,-,25,22,35.07
S01001755,"1,062",521,541,"1,062",-,9,58,18.3
S01001756,652,268,384,621,31,3,16,41.96
S01001757,757,385,372,757,-,5,49,15.37
S01001758,785,363,422,785,-,3,20,39.56
S01001759,684,301,383,684,-,1,15,46.79
S01001760,797,405,392,797,-,-,17,45.61
S01001761,727,328,399,706,21,-,21,34.78
S01001762,978,444,534,966,12,8,22,44.14
S01001763,832,416,416,832,-,10,15,55.36
S01001764,531,270,261,531,-,4,12,42.56
S01001765,949,427,522,949,-,1,26,37.01
S01001766,651,323,328,651,-,8,13,49.98
S01001767,587,274,313,587,-,6,12,47.27
S01001768,604,292,312,604,-,-,15,39.97
S01001769,626,280,346,626,-,2,35,17.69
S01001770,566,281,285,566,-,1,14,39.11
S01001771,841,404,437,841,-,1,23,37
S01001772,522,242,280,522,-,4,12,44.88
S01001773,941,456,485,941,-,3,31,29.96
S01001774,673,319,354,667,6,-,13,52.44
S01001775,836,392,444,836,-,9,15,57.41
S01001776,624,295,329,624,-,2,14,44.96
S01001777,916,444,472,906,10,21,33,27.42
S01001778,877,396,481,834,43,2,32,27.68
S01001779,539,238,301,536,3,5,15,36.8
S01001780,867,396,471,832,35,4,36,23.98
S01001781,690,320,370,690,-,2,14,49
S01001782,968,445,523,968,-,6,29,33.28
S01001783,598,276,322,598,-,2,11,56.85
S01001784,589,266,323,589,-,5,16,35.78
S01001785,611,291,320,611,-,3,9,65.37
S01001786,640,309,331,589,51,1,37,17.47
S01001787,566,279,287,566,-,-,13,42.62
S01001788,791,372,419,791,-,3,13,61.31
S01001789,738,373,365,738,-,2,204,3.62
S01001790,692,334,358,692,-,11,"2,357",0.29
S01001791,726,360,366,726,-,10,"1,030",0.7
S01001792,684,325,359,684,-,10,14,50.47
S01001793,903,438,465,878,25,12,154,5.87
S01001794,948,463,485,948,-,10,25,37.59
S01001795,443,222,221,437,6,16,"1,830",0.24
S01001796,835,414,421,835,-,14,33,25.65
S01001797,676,323,353,676,-,1,14,47.43
S01001798,806,404,402,806,-,31,57,14.11
S01001799,"1,090",517,573,"1,090",-,1,25,44.25
S01001800,942,468,474,942,-,13,16,58.7
S01001801,"1,008",504,504,"1,008",-,28,"1,192",0.85
S01001802,835,383,452,835,-,-,26,31.74
S01001803,"1,010",503,507,"1,010",-,11,44,22.73
S01001804,952,455,497,948,4,4,604,1.58
S01001805,699,338,361,699,-,5,21,32.81
S01001806,666,309,357,666,-,8,47,14.23
S01001807,841,411,430,841,-,9,19,43.86
S01001808,528,261,267,523,5,2,14,37.34
S01001809,"1,036",464,572,"1,027",9,2,11,90.15
S01001810,876,423,453,876,-,5,29,30.08
S01001811,673,307,366,673,-,21,15,45.66
S01001812,898,453,445,898,-,22,40,22.27
S01001813,709,330,379,709,-,15,19,37.79
S01001814,723,361,362,723,-,21,17,43.14
S01001815,842,423,419,842,-,7,17,48.82
S01001816,"1,120",539,581,"1,112",8,44,37,30.53
S01001817,699,336,363,699,-,3,14,51.57
S01001818,752,354,398,752,-,18,22,34.23
S01001819,997,480,517,997,-,22,33,29.83
S01001820,778,356,422,778,-,3,10,80.54
S01001821,549,286,263,541,8,4,14,39.86
S01001822,984,470,514,969,15,6,21,46.58
S01001823,928,429,499,914,14,1,34,27.02
S01001824,739,332,407,739,-,5,14,51.41
S01001825,798,386,412,798,-,7,49,16.23
S01001826,675,294,381,675,-,5,16,42.79
S01001827,830,388,442,805,25,3,15,56.6
S01001828,750,394,356,750,-,24,15,50.7
S01001829,710,324,386,708,2,11,27,26.5
S01001830,942,467,475,942,-,23,31,30.4
S01001831,724,327,397,724,-,5,11,63.2
S01001832,715,328,387,715,-,-,11,65.81
S01001833,"1,153",579,574,"1,145",8,36,40,28.72
S01001834,587,272,315,587,-,-,11,52.25
S01001835,634,312,322,623,11,21,63,10
S01001836,870,406,464,836,34,17,24,36.78
S01001837,900,437,463,896,4,35,27,33.48
S01001838,674,324,350,674,-,-,13,53.42
S01001839,912,426,486,912,-,1,17,55.17
S01001840,701,356,345,701,-,7,133,5.28
S01001841,720,328,392,720,-,4,8,89.73
S01001842,757,370,387,727,30,7,14,55.8
S01001843,724,325,399,724,-,3,8,91.56
S01001844,"2,465","1,441","1,024",955,"1,510",33,759,3.25
S01001845,780,393,387,780,-,22,21,37.45
S01001846,886,425,461,886,-,18,13,66.28
S01001847,930,411,519,928,2,1,22,42.66
S01001848,748,332,416,748,-,3,13,56.15
S01001849,582,281,301,582,-,20,32,17.91
S01001850,726,321,405,726,-,7,9,79.65
S01001851,892,468,424,819,73,2,22,40.14
S01001852,766,368,398,766,-,9,30,25.93
S01001853,724,348,376,724,-,16,16,44.07
S01001854,"1,037",478,559,"1,026",11,17,60,17.27
S01001855,802,373,429,801,1,17,23,34.81
S01001856,840,374,466,840,-,3,20,42.13
S01001857,679,323,356,672,7,1,13,53.86
S01001858,903,385,518,792,111,20,27,33.54
S01001859,"1,066",519,547,"1,064",2,7,16,66.89
S01001860,"1,128",685,443,781,347,26,75,14.96
S01001861,802,382,420,798,4,6,12,64.26
S01001862,801,392,409,801,-,7,20,39.97
S01001863,807,396,411,807,-,1,17,46.42
S01001864,"1,387",633,754,"1,350",37,5,22,63.34
S01001865,699,354,345,699,-,1,6,112.72
S01001866,675,311,364,675,-,22,36,18.9
S01001867,744,363,381,744,-,3,14,52.14
S01001868,753,335,418,639,114,5,354,2.13
S01001869,823,381,442,820,3,5,24,34.37
S01001870,961,452,509,961,-,5,10,92.37
S01001871,"1,700",823,877,"1,696",4,28,43,39.44
S01001872,888,411,477,817,71,3,20,43.95
S01001873,806,375,431,741,65,22,19,43.26
S01001874,"1,137",567,570,"1,137",-,8,11,107.11
S01001875,907,461,446,902,5,29,37,24.3
S01001876,"1,020",502,518,"1,020",-,7,17,61.67
S01001877,951,459,492,951,-,6,9,106.04
S01001878,"1,076",527,549,"1,076",-,37,50,21.42
S01001879,640,377,263,640,-,2,3,220.65
S01001880,741,388,353,741,-,5,19,39.81
S01001881,755,381,374,755,-,5,75,10.05
S01001882,793,393,400,793,-,2,22,35.34
S01001883,532,252,280,532,-,14,11,48.36
S01001884,894,403,491,894,-,1,13,69.66
S01001885,"1,211",570,641,"1,174",37,16,48,25.15
S01001886,564,306,258,564,-,1,12,46.24
S01001887,830,394,436,830,-,10,15,56.9
S01001888,881,428,453,879,2,24,67,13.24
S01001889,542,269,273,542,-,6,14,39.15
S01001890,994,479,515,994,-,4,28,35.46
S01001891,713,343,370,713,-,1,10,69.91
S01001892,973,527,446,973,-,2,10,95.1
S01001893,"1,000",542,458,"1,000",-,1,16,61.99
S01001894,805,414,391,805,-,3,7,122.86
S01001895,859,423,436,857,2,1,11,76.11
S01001896,809,363,446,809,-,28,13,62.33
S01001897,914,452,462,914,-,3,14,65.83
S01001898,616,283,333,616,-,-,9,65.06
S01001899,785,376,409,785,-,1,9,92.08
S01001900,754,367,387,754,-,1,18,42.76
S01001901,934,415,519,877,57,31,59,15.87
S01001902,919,457,462,919,-,30,15,62.79
S01001903,598,308,290,598,-,-,19,31.13
S01001904,598,298,300,598,-,1,6,94.16
S01001905,905,423,482,905,-,37,10,94.61
S01001906,709,347,362,700,9,3,408,1.74
S01001907,811,382,429,811,-,1,15,52.72
S01001908,914,456,458,754,160,15,136,6.7
S01001909,670,357,313,670,-,3,24,27.49
S01001910,744,374,370,744,-,-,10,72.75
S01001911,747,371,376,747,-,29,9,78.9
S01001912,742,353,389,742,-,1,12,64
S01001913,"1,015",506,509,"1,015",-,5,23,44.42
S01001914,573,265,308,566,7,37,24,23.51
S01001915,906,443,463,904,2,6,24,36.99
S01001916,860,397,463,860,-,10,13,65.7
S01001917,759,361,398,695,64,45,17,43.82
S01001918,901,442,459,901,-,8,8,108.88
S01001919,850,384,466,850,-,1,11,74.02
S01001920,760,357,403,760,-,5,10,72.91
S01001921,614,287,327,607,7,-,9,67.02
S01001922,804,401,403,804,-,13,40,19.86
S01001923,577,297,280,577,-,1,9,66.81
S01001924,775,373,402,775,-,14,14,55.29
S01001925,780,383,397,776,4,20,17,46.17
S01001926,678,323,355,615,63,1,74,9.22
S01001927,977,435,542,900,77,18,20,48.32
S01001928,918,467,451,711,207,3,26,35.3
S01001929,994,455,539,994,-,19,34,29.48
S01001930,786,411,375,786,-,6,4,188.97
S01001931,728,367,361,728,-,-,12,63.16
S01001932,"1,615","1,104",511,983,632,2,34,47.86
S01001933,851,395,456,847,4,20,21,40.74
S01001934,"1,523",745,778,"1,523",-,7,37,41.38
S01001935,928,480,448,859,69,8,19,49.17
S01001936,"1,149",514,635,"1,149",-,14,13,86.75
S01001937,867,406,461,867,-,4,26,33.6
S01001938,630,291,339,581,49,15,12,54.12
S01001939,556,283,273,556,-,4,5,109.68
S01001940,824,425,399,807,17,15,10,84.42
S01001941,"1,038",501,537,961,77,12,27,38.84
S01001942,571,262,309,571,-,9,5,108.57
S01001943,714,331,383,714,-,1,23,31.49
S01001944,781,364,417,683,98,24,44,17.58
S01001945,751,339,412,706,45,18,15,49.14
S01001946,858,428,430,858,-,3,11,76.23
S01001947,952,447,505,928,24,18,42,22.7
S01001948,862,415,447,862,-,4,10,89.16
S01001949,700,344,356,700,-,-,9,75.89
S01001950,893,444,449,893,-,4,9,101.22
S01001951,905,423,482,842,63,1,27,33.38
S01001952,767,395,372,763,4,17,10,74.06
S01001953,861,385,476,861,-,23,13,64.96
S01001954,440,228,212,440,-,1,181,2.43
S01001955,"1,137",528,609,"1,137",-,2,15,77.61
S01001956,763,354,409,763,-,3,9,81.9
S01001957,500,240,260,494,6,-,9,54.42
S01001958,852,410,442,852,-,2,10,81.22
S01001959,562,262,300,562,-,3,553,1.02
S01001960,919,481,438,896,23,25,22,41.87
S01001961,"1,112",542,570,"1,107",5,8,9,125.45
S01001962,905,439,466,905,-,5,81,11.24
S01001963,914,454,460,914,-,7,9,98.4
S01001964,737,377,360,737,-,5,55,13.28
S01001965,762,359,403,755,7,-,15,51.14
S01001966,"1,556",740,816,"1,545",11,6,35,44.24
S01001967,650,338,312,650,-,1,9,72.57
S01001968,854,365,489,788,66,4,19,45.02
S01001969,620,284,336,620,-,2,10,64.76
S01001970,630,300,330,628,2,19,17,37.87
S01001971,779,370,409,779,-,1,14,55.8
S01001972,711,331,380,711,-,13,4,168.19
S01001973,679,339,340,679,-,3,32,21.05
S01001974,850,390,460,824,26,29,14,60.74
S01001975,848,354,494,848,-,9,22,39
S01001976,837,416,421,812,25,3,7,111.97
S01001977,840,370,470,803,37,-,33,25.64
S01001978,"1,395",670,725,"1,395",-,3,23,61.66
S01001979,710,312,398,679,31,11,20,36.06
S01001980,833,423,410,833,-,2,8,109.9
S01001981,933,446,487,863,70,13,12,77.38
S01001982,396,192,204,396,-,3,36,11.15
S01001983,702,379,323,702,-,8,8,92.78
S01001984,944,450,494,944,-,4,7,126.12
S01001985,764,346,418,764,-,1,11,71.89
S01001986,635,331,304,635,-,1,3,223.27
S01001987,829,406,423,829,-,7,4,231.71
S01001988,801,362,439,801,-,7,11,71.87
S01001989,880,431,449,880,-,9,65,13.47
S01001990,954,445,509,869,85,16,15,63.64
S01001991,834,393,441,834,-,3,14,57.62
S01001992,847,394,453,797,50,27,15,56.09
S01001993,727,394,333,727,-,25,12,60.48
S01001994,897,403,494,755,142,6,11,81.13
S01001995,653,335,318,653,-,6,7,89.53
S01001996,825,370,455,825,-,9,3,260.27
S01001997,793,368,425,793,-,1,18,44.43
S01001998,743,334,409,743,-,-,7,99.74
S01001999,739,360,379,739,-,-,3,270.62
S01002000,768,359,409,768,-,-,16,46.81
S01002001,786,416,370,786,-,1,5,163.94
S01002002,733,302,431,733,-,5,3,226.15
S01002003,850,405,445,850,-,9,123,6.9
S01002004,812,433,379,812,-,5,5,156.51
S01002005,773,363,410,773,-,1,12,64.9
S01002006,888,424,464,888,-,5,33,26.71
S01002007,956,551,405,956,-,-,3,276.42
S01002008,932,461,471,932,-,7,9,106.96
S01002009,864,420,444,831,33,5,8,112.63
S01002010,520,230,290,520,-,6,2,233.45
S01002011,"1,057",509,548,"1,057",-,16,53,19.89
S01002012,825,414,411,825,-,7,3,306.79
S01002013,798,380,418,798,-,23,12,68.4
S01002014,869,386,483,846,23,7,6,154.67
S01002015,822,414,408,822,-,5,14,58.85
S01002016,589,318,271,589,-,2,4,164.88
S01002017,"1,143",555,588,"1,038",105,9,33,34.84
S01002018,802,393,409,802,-,1,11,71.46
S01002019,815,353,462,815,-,6,3,282.93
S01002020,557,231,326,280,277,7,1,450.71
S01002021,"1,002",460,542,"1,002",-,2,59,17.06
S01002022,984,495,489,984,-,9,"1,240",0.79
S01002023,776,384,392,776,-,8,5,162.35
S01002024,712,329,383,702,10,12,4,182.69
S01002025,901,455,446,841,60,1,4,249.18
S01002026,663,312,351,663,-,6,12,55.65
